metric,i,rtt_ms
ack,756,0.2454
ack,757,0.2423
ack,758,0.2340
ack,759,0.2514
ack,760,0.2339
ack,761,0.2238
ack,762,0.2387
ack,763,0.2265
ack,764,0.2472
ack,765,0.2475
ack,766,0.2455
ack,767,0.2415
ack,768,0.3297
ack,769,0.2609
ack,770,0.2297
ack,771,0.2510
ack,772,0.2417
ack,773,0.2455
ack,774,0.2357
ack,775,0.2538
ack,776,0.3037
ack,777,0.2615
ack,778,0.2538
ack,779,0.2578
ack,780,0.2390
ack,781,0.2358
ack,782,0.2349
ack,783,0.2461
ack,784,0.2381
ack,785,0.3117
ack,786,0.2690
ack,787,0.2428
ack,788,0.2660
ack,789,0.2346
ack,790,0.2411
ack,791,0.2982
ack,792,0.2428
ack,793,0.2504
ack,794,0.2664
ack,795,0.2306
ack,796,0.2318
ack,797,0.2552
ack,798,0.2455
ack,799,0.2371
ack,800,0.2281
ack,801,0.2658
ack,802,0.2297
ack,803,0.2447
ack,804,0.2435
ack,805,0.2408
ack,806,0.2424
ack,807,0.2528
ack,808,0.2314
ack,809,0.2409
ack,810,0.2442
ack,811,0.2493
ack,812,0.2369
ack,813,0.2431
ack,814,0.2468
ack,815,0.2242
ack,816,0.2471
ack,817,0.2515
ack,818,0.2414
ack,819,0.2387
ack,820,0.2423
ack,821,0.2394
ack,822,0.2344
ack,823,0.2465
ack,824,0.2427
ack,825,0.2316
ack,826,0.2281
ack,827,0.2436
ack,828,0.2390
ack,829,0.2507
ack,830,0.2392
ack,831,0.2354
ack,832,0.2342
ack,833,0.2442
ack,834,0.2631
ack,835,0.2336
ack,836,0.2268
ack,837,0.2295
ack,838,0.2376
ack,839,0.2442
ack,840,0.2282
ack,841,0.2847
ack,842,0.2440
ack,843,0.2538
ack,844,0.2616
ack,845,0.2372
ack,846,0.2401
ack,847,0.2389
ack,848,0.2483
ack,849,0.2349
ack,850,0.2336
ack,851,0.2416
ack,852,0.2309
ack,853,0.2436
ack,854,0.2420
ack,855,0.2264
ack,856,0.2361
ack,857,0.2338
ack,858,0.2328
ack,859,0.2382
ack,860,0.2545
ack,861,0.2375
ack,862,0.6744
ack,863,0.5914
ack,864,0.6050
ack,865,0.6123
ack,866,0.2651
ack,867,0.5491
ack,868,0.5941
ack,869,0.5870
ack,870,0.5795
ack,871,0.6026
ack,872,0.5777
ack,873,0.2946
ack,874,0.2643
ack,875,0.2382
ack,876,0.2226
ack,877,0.2089
ack,878,0.2227
ack,879,0.2147
ack,880,0.5361
ack,881,0.5930
ack,882,0.5764
ack,883,0.6299
ack,884,0.2895
ack,885,0.2223
ack,886,0.2302
ack,887,0.2338
ack,888,0.2636
ack,889,0.2208
ack,890,0.2420
ack,891,0.2165
ack,892,0.2062
ack,893,0.2163
ack,894,0.2135
ack,895,0.2178
ack,896,0.5366
ack,897,0.2735
ack,898,0.2325
ack,899,0.2229
ack,900,0.2085
ack,901,0.2151
ack,902,0.2729
ack,903,0.5604
ack,904,0.5730
ack,905,0.5760
ack,906,0.2774
ack,907,0.2470
ack,908,0.2305
ack,909,0.2393
ack,910,0.2341
ack,911,0.2124
ack,912,0.2493
ack,913,0.2177
ack,914,0.2244
ack,915,0.2108
ack,916,0.2314
ack,917,0.2409
ack,918,0.2026
ack,919,0.2126
ack,920,0.2215
ack,921,0.2144
ack,922,0.2191
ack,923,0.2147
ack,924,0.2213
ack,925,0.2124
ack,926,0.2241
ack,927,0.2080
ack,928,0.2268
ack,929,0.2280
ack,930,0.5466
ack,931,0.6292
ack,932,0.5750
ack,933,0.2707
ack,934,0.2421
ack,935,0.2301
ack,936,0.2286
ack,937,0.2744
ack,938,0.5749
ack,939,0.5755
ack,940,0.5782
ack,941,0.2931
ack,942,0.2129
ack,943,0.5573
ack,944,0.6843
ack,945,0.3535
ack,946,0.2484
ack,947,0.2117
ack,948,0.2169
ack,949,0.2602
ack,950,0.2473
ack,951,0.2567
ack,952,0.2445
ack,953,0.2455
ack,954,0.2417
ack,955,0.2373
ack,956,0.2223
ack,957,0.2214
ack,958,0.2226
ack,959,0.2306
ack,960,0.2580
ack,961,0.5924
ack,962,0.6219
ack,963,0.2728
ack,964,0.2490
ack,965,0.3004
ack,966,0.2617
ack,967,0.2463
ack,968,0.2853
ack,969,0.5842
ack,970,0.6129
ack,971,0.6169
ack,972,0.5968
ack,973,0.2669
ack,974,0.2237
ack,975,0.2282
ack,976,0.2294
ack,977,0.2057
ack,978,0.2186
ack,979,0.2104
ack,980,0.2144
ack,981,0.2136
ack,982,0.2502
ack,983,0.2262
ack,984,0.2295
ack,985,0.2485
ack,986,0.2327
ack,987,0.2391
ack,988,0.2346
ack,989,0.2469
ack,990,0.2348
ack,991,0.2247
ack,992,0.2090
ack,993,0.2327
ack,994,0.2156
ack,995,0.2171
ack,996,0.2182
ack,997,0.2133
ack,998,0.2041
ack,999,0.2153
ack,1000,0.5510
ack,1001,0.6032
ack,1002,0.6260
ack,1003,0.5974
ack,1004,0.5965
ack,1005,0.2880
ack,1006,0.2313
ack,1007,0.2199
ack,1008,0.2294
ack,1009,0.2211
ack,1010,0.2108
ack,1011,0.2152
ack,1012,0.2235
ack,1013,0.2438
ack,1014,0.2416
ack,1015,0.2084
ack,1016,0.2237
ack,1017,0.2040
ack,1018,0.2181
ack,1019,0.2106
ack,1020,0.2177
ack,1021,0.2121
ack,1022,0.2286
